CVR,Date,Product Number,Default Channel Grouping,Device Category,Number of Records,Region,Revenue,Sessions,Source,Transactions
0,1/1/2019,0,Direct,mobile,1,Texas,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,3,Virginia,0,3,(direct),0
0,1/1/2019,0,Direct,mobile,1,Connecticut,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,2,Kentucky,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,1,Maharashtra,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,1,North Carolina,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,1,North Carolina,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,6,North Carolina,0,5,(direct),0
0,1/1/2019,0,Direct,mobile,6,North Carolina,0,7,(direct),0
0,1/1/2019,0,Direct,mobile,5,North Carolina,0,5,(direct),0
0,1/1/2019,0,Direct,mobile,1,Texas,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,1,Ankara,0,1,(direct),0
0,1/1/2019,0,Direct,mobile,1,Arizona,0,3,(direct),0
0,1/1/2019,0,Direct,mobile,15,California,0,21,(direct),0
0,1/1/2019,0,Direct,tablet,1,Florida,0,1,(direct),0
0,1/1/2019,0,Direct,tablet,1,Guangdong,0,1,(direct),0
0,1/1/2019,0,Direct,tablet,2,Illinois,0,1,(direct),0
1,1/1/2019,98028,Direct,tablet,1,Kentucky,96.98000336,1,(direct),1
0,1/1/2019,0,Organic Search,desktop,1,Maryland,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,Michigan,0,1,bing,0
0,1/1/2019,0,Organic Search,desktop,1,New York,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,North Carolina,0,1,google,0
1,1/1/2019,18596,Organic Search,desktop,2,Ohio,26.95000076,2,google,1
0,1/1/2019,0,Organic Search,desktop,2,Ontario,0,4,bing,0
0,1/1/2019,0,Organic Search,desktop,1,Pennsylvania,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,Rhode Island,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,3,Saskatchewan,0,3,google,0
0,1/1/2019,0,Organic Search,desktop,1,South Carolina,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,Tennessee,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,Texas,0,1,yahoo,0
0,1/1/2019,0,Organic Search,desktop,1,Washington,0,2,google,0
0,1/1/2019,0,Organic Search,desktop,1,Alabama,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,Arizona,0,1,bing,0
0,1/1/2019,0,Organic Search,desktop,1,Arkansas,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,California,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,3,Colorado,0,3,google,0
0,1/1/2019,0,Organic Search,desktop,2,Connecticut,0,2,bing,0
0,1/1/2019,0,Organic Search,desktop,1,District of Columbia,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,2,England,0,2,google,0
0,1/1/2019,0,Organic Search,desktop,1,Florida,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,1,Georgia,0,1,google,0
0,1/1/2019,0,Organic Search,desktop,2,Illinois,0,2,google,0
0,1/1/2019,0,Organic Search,desktop,1,Indiana,0,1,google,0
1,1/1/2019,18520,Organic Search,desktop,3,Kansas,14.94999981,4,yahoo,1
0,1/1/2019,0,Organic Search,desktop,1,Kentucky,0,1,bing,0
0,1/1/2019,18520,Organic Search,desktop,2,Michigan,44.95999908,1,google,1
0,1/1/2019,0,Organic Search,desktop,2,Minnesota,0,2,google,0
0,1/1/2019,0,Organic Search,desktop,1,Missouri,0,1,google,0
0,1/1/2019,18439,Organic Search,mobile,2,New Jersey,14.94999981,1,google,1
0,1/1/2019,0,Organic Search,mobile,1,New Mexico,0,1,google,0
0,1/1/2019,0,Organic Search,mobile,2,New York,0,2,google,0
0,1/1/2019,0,Organic Search,mobile,6,North Carolina,0,5,google,0
0,1/1/2019,0,Organic Search,mobile,1,Ohio,0,1,google,0
0,1/1/2019,0,Organic Search,mobile,7,Ontario,0,8,google,0
1,1/1/2019,29744,Organic Search,mobile,9,Pennsylvania,14.94999981,12,google,1
0,1/1/2019,0,Organic Search,mobile,4,South Carolina,0,4,google,0
0,1/1/2019,0,Organic Search,mobile,3,Tennessee,0,3,google,0
0,1/1/2019,0,Organic Search,mobile,1,Texas,0,1,google,0
1,1/1/2019,18520,Organic Search,mobile,2,Washington,14.94999981,1,google,1
0,1/1/2019,0,Organic Search,mobile,1,Hawaii,0,1,google,0
0,1/1/2019,0,Organic Search,mobile,2,Al Ahmadi Governorate,0,3,google,0
0,1/1/2019,0,Organic Search,mobile,2,Alabama,0,2,google,0
